,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
36,-1.7526845,-1.7113837,-1.937828,-1.937934,-2.0963314,-1.9666744,-2.293454,-1.3045192,-1.8434511,-1.5278211,-0.96436214,-1.0340515,-1.6117985,-0.9040598,-1.2706641,-1.4029647,-2.5947921,-1.9802328,-1.2816682,-1.6813202,-1.4148192,-2.1841762,-0.02489683,-0.43016356,-2.0514967,-1.7318609,-1.5972794,-1.9081186,-1.6757463,-1.8037854,-1.4940897,-1.8138102,-1.4888717,-1.2790385,-1.3092362,-1.3691816,-0.1824503,-1.2496188,-0.94505525,-0.33841488,-1.4584295,-1.9118568,-1.3117785,-1.6103913,-1.6655791,-1.603715,-0.7327033,-0.8443517
42,1.2130316,-0.5471781,0.4507659,1.2705668,0.65555495,-0.27126583,-0.29218903,0.88072145,0.34765643,-0.07428551,1.8041464,1.4193211,1.0878546,0.16204707,0.2682028,1.5610515,-0.24301505,-0.275811,-0.583214,-0.11069479,1.0576686,0.5636637,0.15291905,0.6168828,-0.020313952,0.15059751,1.6559603,0.7217544,0.4708189,1.0523156,1.259995,0.04675165,1.2299303,0.5438163,1.2437665,0.39028126,0.99044317,0.8994055,0.19970119,0.45681238,-0.30790526,-0.49216565,-0.27343374,0.6081332,-0.15039246,0.43984872,-0.23539145,0.7338649
43,0.3407622,-1.129281,-0.46792403,0.20106658,-0.44519958,-1.0247808,-0.29218903,-0.11256977,-0.3096758,-0.55879736,0.8813102,-0.2162607,0.18797024,-0.051174298,-0.39131162,-0.034957223,0.1489478,0.0340839,-0.7578275,-0.33506984,0.23350604,0.5636637,0.15291905,0.35512123,0.8501929,-0.53393286,1.8473272,-0.374026,-0.6024637,0.6715022,0.9157344,0.04675165,0.4531297,-0.5195157,0.45822725,0.07037891,0.59947866,-0.055716418,-0.5634697,0.3242745,-0.14354466,-0.8977917,-0.6195487,-0.30537686,-0.4871006,-0.14402662,0.096149795,0.7338649
44,-0.008145582,-1.129281,-0.28418604,-0.012833481,-0.8121177,-1.4015383,-0.49231553,-0.50988626,-0.3096758,-1.2855651,-0.041525938,-0.76145464,-0.7119142,-0.26439565,-0.6111497,0.42104524,-0.24301505,-0.43075842,-1.1070546,-0.7838199,-0.5906566,-0.07045313,-0.20271271,-0.43016356,-0.020313952,-0.36280024,1.2732261,-0.15486993,-0.6024637,0.2906887,0.22721325,-0.66884905,0.06472943,-0.3676111,0.06545761,-0.40947458,-0.1824503,-0.5332774,-0.5634697,-0.073339134,-0.47226587,-0.6949787,-0.7926061,-0.30537686,-1.1605169,-0.28999546,-0.40116206,0.3393108
45,-0.18259947,-1.3233153,-0.651662,-0.6545336,-0.8121177,-1.0247808,-0.8925685,-1.105861,-0.5287866,-0.8010533,-0.27223498,-0.2162607,-0.7119142,-0.47761703,-1.2706641,0.42104524,-0.63497794,-0.5857059,-1.1070546,-0.7838199,-1.0027379,-0.4931977,-0.20271271,-0.95368683,-0.16539843,-0.876198,1.2732261,-0.374026,-0.6024637,-0.09012476,-0.46130794,-1.0982095,-0.517871,-0.5195157,-0.52369684,-0.8893281,-0.1824503,-0.7720579,-0.75426245,-0.33841488,-1.1297082,-1.3034177,-1.138721,-0.30537686,-1.4972249,-0.87387085,-1.3957858,-0.05524336
46,-0.35705334,-1.3233153,-0.83540004,-0.6545336,-0.99557686,-1.2131594,-1.092695,-0.9072027,-0.7478973,-0.55879736,-0.041525938,-0.2162607,-0.7119142,-0.26439565,-0.17147347,-0.034957223,-0.8309593,-0.5857059,-1.4562818,-1.008195,-1.2087785,-0.91594225,-0.5583445,-1.3463291,-1.4711587,-1.2184632,0.12502398,-0.8123382,-1.2464334,-0.8517517,-1.149829,-1.3844498,-0.517871,-0.3676111,-1.1128513,-0.8893281,-0.5734148,-0.5332774,-0.75426245,-0.60349065,-1.2940688,-1.3034177,-1.6578934,-0.4358783,-0.8238087,-0.87387085,-1.3957858,-0.6470746
52,0.1663083,0.22895904,0.2670279,0.6288667,-0.44519958,0.29387036,0.30819038,0.2847467,0.34765643,0.41022635,-0.041525938,0.6015302,0.18797024,-0.051174298,-0.17147347,0.64904654,0.34492922,0.3439788,-0.583214,-0.55944484,-0.5906566,-0.28182542,0.5085508,-0.69192517,-0.7457363,0.3217301,-0.6404442,0.5025983,-0.17315069,-0.2805315,-0.6334382,-0.5257289,0.25892958,0.99953,-0.32731202,0.39028126,-0.9643793,-0.055716418,0.19970119,0.059198745,0.18517654,0.11627336,-0.7926061,0.21662886,0.18631567,0.0019422122,-0.40116206,-0.05524336
53,-0.008145582,0.22895904,0.2670279,0.4149666,-0.44519958,0.67062783,0.5083168,-0.311228,0.56676716,0.6524823,-0.27223498,0.6015302,0.18797024,-0.47761703,-1.050826,-0.034957223,0.54091066,0.6538736,0.11524025,0.11368026,0.43954667,0.77503604,0.6863667,-0.69192517,-0.020313952,-0.020535074,-0.44907713,0.064286135,-0.6024637,0.6715022,0.22721325,-0.23948863,-0.517871,-0.06380196,0.06545761,0.39028126,-0.5734148,-0.7720579,0.008908475,-0.20587702,-0.14354466,0.52189934,-0.27343374,0.21662886,0.6913779,0.43984872,-0.40116206,0.3393108
54,0.1663083,0.22895904,-0.100448065,-0.012833481,-0.44519958,0.10549163,-0.692442,-0.11256977,-0.3096758,-0.31654143,-0.041525938,0.87412715,-0.41195267,0.16204707,0.048364658,0.42104524,-0.24301505,0.0340839,-0.40860042,-0.55944484,-0.17857526,-0.07045313,-0.02489683,-0.69192517,-1.0359052,-0.36280024,-0.44907713,0.064286135,-0.17315069,0.4810954,0.055082954,-0.95508933,0.06472943,0.39191177,0.45822725,0.07037891,0.59947866,-0.055716418,-0.372677,-0.20587702,-0.30790526,0.31908637,-1.138721,0.21662886,0.35466975,-0.4359643,-0.7327033,-0.25252044
55,-0.008145582,-0.3531438,-0.651662,-0.6545336,-0.44519958,-0.4596446,-0.8925685,-0.50988626,-0.7478973,-0.8010533,-0.27223498,0.6015302,-1.0118756,0.16204707,-0.39131162,-0.26295847,-0.63497794,-0.12086355,-0.23398685,-0.33506984,-0.5906566,-0.4931977,-0.5583445,-0.2992828,-1.1809897,-0.876198,0.12502398,-0.5931821,-0.6024637,0.10028196,-0.11704733,-1.0982095,-0.12947072,-0.21570653,0.26184243,0.07037891,-0.1824503,-0.5332774,-0.75426245,-0.33841488,-0.30790526,-0.49216565,-1.484836,-0.4358783,-0.31874654,-1.0198395,-0.8984739,-0.8443517
