motion_tx	motion_ty	motion_tz	motion_rx	motion_ry	motion_rz	FD	scrub	slow_drift	slow_drift	wm_avg	vent_avg	global_signal_pca	compcor	compcor	compcor	compcor	compcor
0.082494720816612	-0.138297080993652	-0.123811721801758	0.526177585124969	-0.259204953908920	-0.185691460967064	0.909320652484894	1	1.382978558540344	1.403620004653931	3.516994953155518	34.182209014892578	1.962718009948730	-0.113634243607521	-0.147434070706367	-0.087115854024887	-0.349133193492889	-0.012351041659713
0.092412605881691	-0.105970382690430	-0.308151245117188	-0.050401449203491	-0.229262307286263	-0.009854689240456	0.673990309238434	1	1.381435513496399	1.397452473640442	2.353918075561523	10.675906181335449	0.956979513168335	-0.110319845378399	-0.020344907417893	-0.038724403828382	-0.228709742426872	-0.169555947184563
-0.008201353251934	0.006092071533203	-0.228815078735352	0.174822792410851	-0.428488194942474	0.003409452037886	0.812887907028198	1	1.376809716224670	1.379004120826721	1.030669212341309	0.370742797851562	0.305044054985046	-0.026104805991054	0.025898635387421	0.043501757085323	-0.209463551640511	0.104929268360138
-0.037532940506935	0.078686714172363	-0.018888473510742	0.733465075492859	-0.413881063461304	0.002515024738386	0.274781942367554	1	1.369111299514771	1.348436951637268	-0.680462181568146	-3.321496248245239	-0.210587233304977	0.031659815460443	-0.020423430949450	0.102060586214066	-0.218647956848145	0.176421895623207
-0.017455443739891	0.035291671752930	-0.020689010620117	0.553086996078491	-0.360383659601212	-0.003688949160278	0.311640173196793	1	1.358357191085815	1.306019783020020	-3.340201139450073	-9.176526069641113	-1.046989321708679	0.102676756680012	0.010431619361043	0.097544118762016	-0.140518173575401	0.202177971601486
0.010990399867296	0.078142166137695	0.015495300292969	0.432985782623291	-0.257299512624741	-0.014453181996942	0.563041508197784	1	1.344571113586426	1.252125144004822	-2.656587839126587	-7.633200168609619	-0.988880276679993	0.089824132621288	-0.001470639952458	0.056184649467468	-0.114175386726856	0.163039445877075
-0.015035483986139	0.011514663696289	-0.055757522583008	0.015019050799310	-0.222018629312515	-0.010325470939279	0.452463656663895	1	1.327783226966858	1.187226891517639	0.083826065063477	-0.808959960937500	-0.001587583450601	0.008273759856820	0.007482867687941	0.028104377910495	-0.105326682329178	0.048704870045185
-0.155617788434029	0.094573020935059	-0.103727340698242	0.164794683456421	-0.188657447695732	0.013780197128654	0.520424962043762	1	1.308030605316162	1.111895084381104	-1.502833485603333	5.146541595458984	-0.294088870286942	-0.012885501608253	0.049863684922457	0.088959075510502	-0.089592806994915	0.200428366661072
-0.068587005138397	0.118360519409180	0.108823776245117	0.193815514445305	-0.069017134606838	-0.063367679715157	0.316718041896820	1	1.285356521606445	1.026792049407959	0.427451461553574	-8.683453559875488	-0.008920288644731	-0.000386729196180	-0.056831665337086	0.046401139348745	-0.075252808630466	0.104102194309235
0.001656632870436	0.036752700805664	0.114894866943359	0.122970737516880	-0.137230679392815	-0.106275610625744	0.336745679378510	1	1.259810924530029	0.932665467262268	0.248609721660614	-13.484931945800781	-0.067099519073963	0.017111836001277	-0.063639305531979	-0.014533728361130	-0.128757894039154	0.039552778005600
